Table with row headers in column A and column headers in rows 4 through 5,,,,,,,,,,,,,,,
"Table A-2.
Households by Total Money Income, Race, and Hispanic Origin of Householder: 1967 to 2023",,,,,,,,,,,,,,,
"(Income in 2023 dollars, adjusted using the C-CPI-U (2000-2023) and R-CPI-U-RS (pre-2000). Households as of March of the following year. Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar24.pdf>)",,,,,,,,,,,,,,,
1998,"103,900",100,8.4,8.6,8.1,12.0,17.2,13.4,17.0,7.7,7.5,"68,470",666,"91,310",811
1997,"102,500",100,8.7,9.0,8.6,12.2,17.3,13.5,16.5,7.3,6.9,"66,050",502,"88,690",816
1996,"101,000",100,8.9,9.4,8.9,12.5,17.3,13.4,16.7,6.7,6.3,"64,710",537,"85,910",792
1995 12,"99,630",100,9.0,9.4,9.0,12.4,18.1,13.5,16.1,6.7,5.8,"63,770",606,"84,090",757
1994 13,"98,990",100,9.5,9.9,9.2,12.8,17.5,13.4,15.7,6.3,5.8,"61,800",463,"82,620",731
1993 14,"97,110",100,10.0,9.8,8.9,13.0,17.9,13.2,15.5,6.3,5.4,"61,150",470,"81,090",721
1992 15,"96,430",100,9.9,9.8,9.1,12.3,18.3,13.6,16.0,6.1,4.9,"61,450",478,"77,910",538
1991,"95,670",100,9.7,9.4,8.9,12.7,18.4,14.0,15.7,6.3,4.9,"61,960",491,"78,000",528
1990,"94,310",100,9.4,9.0,8.7,12.6,18.8,14.1,16.1,6.3,5.1,"63,830",536,"79,730",554
1989,"93,350",100,9.0,9.1,8.8,12.3,18.2,14.2,16.5,6.6,5.4,"64,610",585,"81,630",585
1988,"92,830",100,9.7,9.0,8.5,12.7,18.3,14.2,16.4,6.2,5.0,"63,530",510,"79,370",583
1987 16,"91,120",100,9.8,9.2,8.8,12.6,18.0,14.5,16.3,6.2,4.7,"63,060",490,"78,420",529
1986,"89,480",100,10.0,9.1,8.9,12.5,18.3,14.7,16.2,5.8,4.5,"62,280",531,"76,940",514
1985 17,"88,460",100,10.0,9.8,9.2,13.0,19.0,14.4,15.4,5.4,3.8,"60,050",535,"73,900",481
1984 18,"86,790",100,10.0,10.0,9.5,13.4,19.2,14.0,15.2,5.2,3.6,"58,930",441,"72,200",437
1983,"85,410",100,10.6,10.0,9.8,13.6,19.5,14.2,14.4,4.8,3.2,"57,210",428,"69,580",428
1982,"83,920",100,10.6,10.2,9.8,13.4,20.1,14.1,14.3,4.4,3.1,"57,570",427,"69,380",423
1981,"83,530",100,10.3,10.3,9.8,13.6,19.2,15.1,14.4,4.7,2.6,"57,730",498,"68,970",413
1980,"82,370",100,10.2,10.1,9.5,13.3,19.6,15.1,14.8,4.6,2.7,"58,720",496,"69,840",420
1979 19,"80,780",100,9.8,9.5,9.1,13.4,19.5,15.5,15.3,4.8,3.1,"60,610",472,"71,990",448
1978,"77,330",100,9.5,10.1,9.2,13.2,19.5,15.6,15.6,4.4,3.0,"60,720",404,"71,470",451
1977,"76,030",100,9.8,10.4,9.6,13.1,20.2,15.4,14.7,4.2,2.6,"58,450",361,"69,330",347
1976 20,"74,140",100,10.1,10.1,9.5,13.5,20.4,15.8,14.4,3.9,2.4,"58,160",354,"68,420",347
1975 21,"72,870",100,10.2,10.6,9.6,13.9,20.6,15.6,13.7,3.5,2.2,"57,180",383,"66,780",343
"1974 21, 22","71,160",100,9.7,9.9,9.3,13.3,21.5,15.6,14.3,4.0,2.4,"58,780",371,"68,740",354
1973,"69,860",100,9.9,9.9,8.8,12.5,21.1,15.8,15.1,4.2,2.7,"60,610",379,"70,100",351
1972 23,"68,250",100,10.6,9.6,8.9,13.2,21.4,15.8,14.0,4.0,2.5,"59,330",372,"69,060",352
1971 24,"66,680",100,11.4,9.3,9.5,13.6,22.3,15.9,12.7,3.4,1.9,"57,090",364,"65,660",343
1970,"64,780",100,11.6,9.0,9.0,13.4,23.1,15.8,12.8,3.4,2.0,"57,580",347,"65,940",347
1969,"63,400",100,11.5,8.8,8.8,13.5,23.3,16.0,13.0,3.2,1.9,"58,010",353,"65,990",341
1968,"62,210",100,11.8,9.1,8.8,14.3,24.8,15.3,11.6,2.7,1.6,"55,810",332,"63,140",332
1967 25,"60,810",100,13.0,9.4,8.9,15.6,24.6,14.3,10.1,2.6,1.7,"53,530",320,"59,860",320
WHITE ALONE,,,,,,,,,,,,,,,
2023,"101,900",100,6.3,6.2,6.8,10.0,15.6,12.3,17.8,10.1,14.9,"84,630","1,182","118,000","1,356"
2022,"101,400",100,7.1,6.9,7.2,10.2,15.8,12.5,17.4,9.7,13.3,"80,320",905,"113,600","1,263"
2021,"102,100",100,7.0,6.9,6.9,9.8,15.3,12.1,17.1,9.8,15.0,"83,160","1,021","118,500","1,325"
2020 3,"100,900",100,6.4,7.0,6.6,10.5,15.1,12.5,17.2,9.9,14.8,"83,800",862,"117,600","1,397"
2019,"100,600",100,6.2,6.5,6.2,10.3,15.6,12.2,17.8,9.9,15.4,"85,350",945,"120,300","1,410"
2018,"100,500",100,6.9,7.0,6.9,10.6,15.9,12.9,17.5,9.4,13.0,"80,300",775,"112,700","1,239"
2017 4,"100,100",100,7.0,7.2,7.3,10.9,15.6,12.4,17.1,9.2,13.3,"79,340","1,031","112,000","1,292"
2017,"100,100",100,7.0,7.3,7.5,11.0,15.1,12.5,17.2,9.6,12.9,"79,880",837,"109,700","1,212"
2016,"99,400",100,7.2,7.3,7.5,11.2,15.9,12.5,17.1,9.1,12.2,"77,030",684,"107,500","1,094"
2015,"99,310",100,6.9,7.8,8.5,11.2,15.4,12.6,17.2,9.4,11.1,"75,510",787,"103,300",971
2014,"98,680",100,7.9,8.2,8.5,11.3,15.9,12.8,16.1,8.7,10.5,"71,390",733,"99,030","1,080"
2013 5,"98,810",100,7.9,8.6,8.4,10.9,15.8,13.2,16.4,8.4,10.4,"72,250","1,083","99,090","1,588"
2013 6,"97,770",100,7.7,8.8,8.3,11.5,16.6,13.2,16.3,8.4,9.3,"70,350",890,"96,560","1,139"
2012,"97,710",100,7.5,8.8,8.8,11.9,16.4,13.0,16.4,8.2,9.0,"69,210",814,"95,900",984
2011,"96,960",100,7.7,8.4,8.8,12.3,16.7,12.9,15.9,8.2,9.1,"68,580",486,"95,640",912
2010 7,"96,310",100,7.7,8.7,8.6,11.6,16.7,12.6,16.8,8.2,9.2,"70,030",564,"95,360",902
2009 8,"95,490",100,7.1,8.1,8.8,11.6,16.7,13.2,16.9,8.3,9.4,"71,200",348,"96,850",614
2008,"95,300",100,7.1,8.4,8.5,11.6,16.2,13.1,17.4,8.4,9.4,"71,530",342,"97,340",616
2007,"95,110",100,6.6,8.3,7.8,11.6,16.4,13.0,17.6,8.9,9.8,"73,870",359,"99,690",625
2006,"94,710",100,6.8,7.8,7.9,11.7,17.1,12.7,17.5,8.6,9.8,"73,670",352,"100,500",689
2005,"93,590",100,7.1,8.1,8.0,11.7,17.1,12.9,17.2,8.6,9.3,"72,640",522,"98,680",672
2004 9,"92,880",100,7.0,8.6,8.0,12.0,16.3,13.2,17.2,8.6,9.0,"71,820",463,"96,840",656
2003,"91,960",100,7.0,8.5,8.2,11.7,16.5,13.2,17.2,8.7,9.0,"72,000",465,"97,180",641
2002,"91,650",100,7.1,8.4,7.9,11.9,16.4,13.3,17.7,8.6,8.7,"72,620",485,"96,920",649
WHITE,,,,,,,,,,,,,,,
2001,"90,680",100,6.8,8.4,8.0,11.6,16.8,13.4,17.5,8.6,9.0,"72,600",561,"98,690",698
2000 10,"90,030",100,6.6,8.0,7.9,11.3,17.1,13.3,18.2,8.4,9.1,"73,240",532,"98,810",697
1999 11,"88,890",100,6.3,7.9,8.4,11.4,17.1,13.3,18.2,8.5,8.7,"73,020",607,"97,860",911
1998,"87,210",100,6.9,8.2,7.8,11.8,17.4,13.8,17.8,8.1,8.1,"72,040",594,"95,450",924
1997,"86,110",100,7.4,8.6,8.4,12.0,17.4,13.8,17.2,7.7,7.5,"69,560",725,"92,640",928
1996,"85,060",100,7.5,8.9,8.6,12.4,17.4,13.9,17.5,7.0,6.9,"67,750",576,"89,320",870
1995 12,"84,510",100,7.5,8.9,8.8,12.3,18.2,13.9,16.8,7.2,6.3,"66,930",576,"87,440",834
1994 13,"83,740",100,7.9,9.4,8.9,12.7,17.9,13.8,16.5,6.7,6.3,"65,180",602,"86,260",826
1993 14,"82,390",100,8.3,9.1,8.7,12.9,18.2,13.8,16.4,6.7,5.9,"64,520",618,"84,730",805
1992 15,"81,800",100,8.1,9.3,8.9,12.2,18.7,14.1,17.0,6.5,5.3,"64,610",515,"81,430",597
1991,"81,680",100,7.9,9.0,8.7,12.7,18.7,14.5,16.6,6.7,5.3,"64,930",518,"81,290",582
1990,"80,970",100,7.8,8.4,8.6,12.6,19.1,14.5,17.0,6.6,5.6,"66,570",501,"82,940",610
1989,"80,160",100,7.3,8.6,8.6,12.1,18.6,14.7,17.4,7.0,5.8,"67,960",544,"85,030",647
1988,"79,730",100,8.0,8.3,8.3,12.6,18.7,14.8,17.3,6.6,5.4,"67,160",653,"82,760",641
1987 16,"78,520",100,8.1,8.6,8.5,12.4,18.4,15.1,17.3,6.5,5.0,"66,440",549,"81,770",581
1986,"77,280",100,8.4,8.6,8.5,12.4,18.6,15.3,17.1,6.2,4.8,"65,480",523,"80,150",564
1985 17,"76,580",100,8.5,9.3,8.9,12.8,19.4,15.0,16.1,5.9,4.2,"63,330",556,"76,940",531
1984 18,"75,330",100,8.5,9.3,9.1,13.3,19.7,14.7,16.0,5.5,3.9,"62,170",515,"75,180",480
1983,"74,380",100,8.9,9.3,9.6,13.6,20.1,14.8,15.2,5.1,3.6,"59,990",446,"72,460",464
1982,"73,180",100,9.1,9.6,9.4,13.4,20.5,14.7,15.2,4.8,3.4,"60,270",451,"72,240",465
1981,"72,850",100,8.8,9.6,9.5,13.5,19.7,15.7,15.2,5.1,2.9,"61,000",463,"71,860",448
1980,"71,870",100,8.7,9.4,9.2,13.3,20.0,15.8,15.7,5.0,2.9,"61,950",524,"72,660",458
1979 19,"70,770",100,8.5,8.8,8.7,13.2,19.9,16.2,16.2,5.2,3.3,"63,540",497,"74,830",491
1978,"68,030",100,8.3,9.5,8.9,13.0,19.7,16.3,16.4,4.7,3.3,"63,120",458,"74,110",491
1977,"66,930",100,8.6,9.8,9.2,12.8,20.6,16.1,15.6,4.5,2.8,"61,460",425,"72,040",383
1976 20,"65,350",100,8.9,9.3,9.1,13.4,20.7,16.4,15.3,4.1,2.6,"60,930",415,"71,050",377
1975 21,"64,390",100,9.0,9.9,9.3,13.7,21.0,16.3,14.6,3.8,2.4,"59,800",359,"69,240",375
"1974 21, 22","62,980",100,8.6,9.1,9.0,13.0,22.0,16.3,15.1,4.3,2.6,"61,480",380,"71,290",380
1973,"61,970",100,8.9,9.1,8.5,12.2,21.4,16.4,16.0,4.5,3.0,"63,530",398,"72,810",379
1972 23,"60,620",100,9.6,8.9,8.4,13.0,21.9,16.5,14.8,4.3,2.7,"62,250",393,"71,740",382
1971 24,"59,460",100,10.3,8.6,9.0,13.3,22.9,16.6,13.5,3.7,2.1,"59,710",374,"68,030",364
1970,"57,580",100,10.5,8.4,8.6,13.1,23.5,16.5,13.5,3.6,2.2,"59,980",380,"68,240",369
1969,"56,250",100,10.4,8.2,8.3,13.1,23.9,16.8,13.9,3.4,2.1,"60,540",364,"68,440",375
1968,"55,390",100,10.8,8.4,8.3,14.1,25.5,16.1,12.3,2.9,1.7,"58,110",356,"65,410",356
1967 25,"54,190",100,11.9,8.6,8.4,15.3,25.5,15.0,10.7,2.7,1.8,"55,820",333,"62,050",345
"WHITE ALONE, NOT HISPANIC",,,,,,,,,,,,,,,
2023,"84,440",100,5.9,6.0,6.5,9.4,15.0,12.2,18.1,10.5,16.3,"89,050","1,234","123,400","1,545"
2022,"84,490",100,6.6,6.7,6.9,9.7,15.3,12.3,17.8,10.3,14.5,"84,280",997,"118,500","1,470"
2021,"85,080",100,6.4,6.8,6.6,9.3,14.7,12.0,17.4,10.4,16.4,"87,340","1,210","124,000","1,554"
2020 3,"84,710",100,6.0,6.7,6.5,9.7,14.6,12.3,17.6,10.4,16.2,"88,200",994,"123,300","1,622"
2019,"84,870",100,5.8,6.3,5.8,9.7,15.1,12.0,18.1,10.4,16.8,"89,900","1,035","126,100","1,607"
2018,"84,730",100,6.4,6.6,6.5,10.0,15.4,12.9,18.0,10.0,14.2,"84,740",782,"117,900","1,403"
2017 4,"84,710",100,6.5,6.9,6.9,10.5,15.1,12.3,17.6,9.7,14.5,"83,450","1,357","117,200","1,421"
2017,"84,680",100,6.5,7.0,7.1,10.5,14.7,12.4,17.5,10.1,14.0,"83,390","1,284","114,400","1,331"
2016,"84,390",100,6.7,6.9,7.3,10.6,15.6,12.5,17.5,9.6,13.4,"80,990","1,045","111,800","1,247"
2015,"84,450",100,6.3,7.5,8.0,10.7,15.0,12.5,17.9,10.1,12.0,"79,080","1,120","107,500","1,097"
2014,"84,230",100,7.5,7.9,8.0,10.8,15.6,12.9,16.6,9.3,11.5,"75,640",760,"103,500","1,196"
2013 5,"84,430",100,7.4,8.0,7.9,10.1,15.7,13.5,17.0,9.1,11.3,"76,810","1,116","103,400","1,776"
2013 6,"83,640",100,7.1,8.4,7.7,11.1,16.2,13.4,16.9,9.0,10.2,"74,190","1,282","101,000","1,322"
2012,"83,790",100,6.8,8.4,8.3,11.4,16.0,13.3,17.1,8.8,9.9,"73,460",761,"100,300","1,092"
2011,"83,570",100,7.0,8.0,8.4,11.7,16.4,13.1,16.6,8.7,10.0,"72,780",709,"99,910","1,033"
2010 7,"83,310",100,7.0,8.3,8.1,11.0,16.4,12.8,17.5,8.7,10.0,"73,760",994,"99,310","1,025"
2009 8,"83,160",100,6.5,7.6,8.3,11.1,16.6,13.3,17.5,8.8,10.1,"74,770",630,"100,500",675
2008,"82,880",100,6.5,8.0,8.2,11.0,15.9,13.3,18.1,8.9,10.1,"75,930",506,"101,300",682
2007,"82,770",100,6.1,8.0,7.4,10.9,16.1,13.0,18.2,9.5,10.7,"77,850",576,"103,700",688
2006,"82,680",100,6.3,7.6,7.5,11.3,16.6,12.9,18.1,9.2,10.6,"76,210",450,"104,300",758
2005,"82,000",100,6.6,7.9,7.5,11.2,16.7,13.0,17.8,9.2,10.1,"75,980",423,"102,600",746
2004 9,"81,630",100,6.6,8.3,7.7,11.5,15.9,13.3,17.9,9.1,9.7,"75,290",567,"100,500",719
2003,"81,150",100,6.6,8.1,7.8,11.1,16.2,13.3,17.8,9.3,9.8,"75,390",600,"100,800",703
2002,"81,170",100,6.7,8.2,7.5,11.4,16.1,13.4,18.4,9.1,9.3,"75,550",488,"100,100",700
"WHITE, NOT HISPANIC",,,,,,,,,,,,,,,
2001,"80,820",100,6.5,8.1,7.6,11.2,16.5,13.5,18.0,9.0,9.6,"75,520",515,"101,800",759
2000 10,"80,530",100,6.3,7.8,7.5,11.0,16.7,13.3,18.7,8.9,9.8,"76,080",502,"101,800",752
1999 11,"79,820",100,6.0,7.6,8.1,11.0,16.8,13.4,18.8,9.0,9.3,"76,180",792,"101,100",985
1998,"78,580",100,6.4,7.8,7.5,11.4,17.2,14.0,18.5,8.6,8.6,"74,730",707,"98,510",991
1997,"77,940",100,6.7,8.2,8.2,11.6,17.3,14.0,17.9,8.1,8.0,"72,430",622,"95,610",N
1996,"77,240",100,6.9,8.5,8.2,12.0,17.3,14.2,18.2,7.4,7.3,"70,710",798,"92,030",N
1995 12,"76,930",100,6.8,8.5,8.5,12.0,18.2,14.2,17.5,7.6,6.8,"69,570",597,"90,300",890
1994 13,"77,000",100,7.3,9.0,8.6,12.5,17.8,14.1,17.0,7.0,6.6,"67,290",586,"88,460",863
1993 14,"75,700",100,7.8,8.7,8.4,12.6,18.1,14.2,16.9,7.0,6.2,"66,890",644,"86,960",853
1992 15,"75,110",100,7.6,8.9,8.6,11.9,18.6,14.3,17.6,6.8,5.6,"66,780",680,"83,500",634
1991,"75,630",100,7.5,8.6,8.5,12.5,18.6,14.7,17.1,7.0,5.5,"66,480",538,"83,040",609
1990,"75,040",100,7.4,8.0,8.3,12.4,19.0,14.7,17.5,6.8,5.8,"68,090",522,"84,780",631
1989,"74,500",100,6.9,8.4,8.4,11.9,18.5,14.9,17.7,7.3,6.1,"69,430",559,"86,730",699
1988,"74,070",100,7.5,8.0,8.1,12.4,18.7,15.0,17.8,6.9,5.6,"69,010",668,"84,450",653
1987 16,"73,120",100,7.7,8.3,8.2,12.2,18.4,15.3,17.8,6.8,5.2,"68,270",625,"83,370",637
1986,"72,070",100,8.1,8.3,8.3,12.2,18.6,15.5,17.5,6.4,5.1,"66,960",568,"81,740",617
1985 17,"71,540",100,8.1,8.9,8.6,12.7,19.3,15.2,16.6,6.1,4.4,"64,750",544,"78,430",586
1984 18,"70,590",100,8.1,9.1,9.0,13.2,19.7,14.9,16.4,5.7,4.0,"63,460",580,"76,490",562
1983,"69,650",100,8.6,8.9,9.5,13.3,20.1,15.0,15.6,5.2,3.7,"61,530",509,"74,370",523
1982,"69,210",100,8.8,9.3,9.2,13.2,20.5,14.9,15.5,5.0,3.5,"61,280",507,"73,300",516
1981,"69,000",100,8.6,9.3,9.3,13.4,19.6,15.9,15.5,5.3,3.0,"61,880",518,"72,760",498
1980,"68,110",100,8.5,9.2,9.0,13.1,20.0,16.1,16.0,5.2,3.0,"63,050",589,"73,610",545
1979 19,"67,200",100,8.4,8.7,8.6,13.0,19.8,16.4,16.5,5.3,3.4,"64,440",587,"75,700",545
1978,"64,840",100,8.1,9.3,8.7,12.8,19.7,16.4,16.7,4.8,3.4,"64,310",557,"74,990",530
1977,"63,720",100,8.5,9.6,9.0,12.6,20.6,16.3,15.9,4.6,2.9,"62,680",581,"72,930",567
1976 20,"62,370",100,8.7,9.1,8.9,13.2,20.7,16.6,15.7,4.3,2.7,"62,170",596,"71,960",528
1975 21,"61,530",100,8.8,9.8,9.1,13.6,21.0,16.5,14.9,3.9,2.5,"60,250",526,"70,090",558
"1974 21, 22","60,160",100,8.5,8.9,8.7,12.9,21.9,16.5,15.4,4.4,2.7,"62,000",501,"72,090",518
1973,"59,240",100,8.8,9.0,8.3,11.9,21.4,16.6,16.4,4.6,3.1,"64,080",493,"73,620",512
1972 23,"58,010",100,9.5,8.7,8.2,12.7,21.8,16.7,15.2,4.4,2.8,"63,130",493,"72,570",533
BLACK ALONE OR IN COMBINATION,,,,,,,,,,,,,,,
2023,"19,240",100,13.8,9.7,8.4,12.5,17.4,12.1,13.1,5.6,7.3,"56,880","1,365","81,160","2,352"
2022,"19,160",100,13.3,9.5,9.8,12.7,17.9,11.9,12.1,6.3,6.7,"55,620","1,605","80,220","2,098"
2021,"18,700",100,13.5,11.3,9.4,12.5,16.4,11.6,12.5,5.8,7.2,"54,660","1,863","80,100","2,104"
2020 3,"18,290",100,14.6,10.4,9.0,12.8,16.3,11.5,13.2,5.4,6.8,"54,700","1,474","80,620","2,155"
2019,"18,060",100,13.9,10.4,9.9,13.2,16.1,10.6,13.1,6.0,6.8,"54,460","1,357","80,290","2,269"
2018,"18,100",100,15.9,11.0,9.7,13.7,16.5,10.9,11.6,5.3,5.5,"50,010","1,099","71,210","1,600"
2017 4,"17,810",100,15.7,11.7,9.6,14.3,15.8,10.6,11.7,5.1,5.4,"48,930","1,383","71,440","1,596"
2017,"17,800",100,16.0,11.1,9.5,14.1,16.0,10.6,12.1,5.4,5.2,"49,680","1,009","72,180","1,608"
2016,"17,510",100,16.2,11.4,9.9,13.6,16.0,11.1,11.6,5.3,4.9,"49,890","1,194","72,380","1,917"
2015,"17,320",100,16.7,12.0,10.4,13.2,15.9,10.8,11.4,5.4,4.2,"46,750","1,128","68,850","1,792"
2014,"17,200",100,17.3,12.2,11.2,13.6,16.6,9.7,10.7,4.7,4.0,"44,760",975,"64,800","1,431"
2013 5,"16,720",100,17.1,11.7,11.5,13.6,16.7,10.1,10.5,4.8,4.0,"45,530","1,629","65,790","2,771"
2013 6,"16,860",100,17.3,13.3,10.5,14.2,16.4,9.8,10.7,4.4,3.5,"44,280","1,466","63,290","1,824"
2012,"16,560",100,18.0,12.8,11.5,13.1,16.4,10.0,10.6,4.3,3.2,"43,450","1,692","62,060","1,564"
2011,"16,170",100,19.0,13.0,11.1,13.4,15.4,10.4,10.0,4.4,3.3,"42,510","1,195","62,400","1,670"
2010 7,"15,910",100,18.9,12.2,11.0,13.4,16.6,10.0,10.5,4.2,3.2,"43,550","1,047","61,620","1,397"
2009 8,"15,210",100,16.6,12.6,11.1,14.3,15.9,10.6,11.6,3.9,3.4,"44,960",944,"63,540","1,165"
2008,"15,060",100,16.4,11.6,11.1,14.5,17.3,10.3,11.0,4.5,3.4,"46,960",987,"63,830","1,098"
2007,"14,980",100,16.7,11.6,9.6,14.1,16.4,11.3,11.9,4.7,3.6,"48,320","1,084","66,380","1,194"
2006,"14,710",100,16.7,11.6,10.5,13.7,17.1,10.8,11.1,4.7,3.7,"46,710",569,"66,140","1,334"
2005,"14,400",100,17.5,12.0,10.8,13.2,17.2,10.7,11.0,4.2,3.4,"46,310",726,"63,920","1,144"
2004 9,"14,150",100,17.3,11.6,10.6,14.4,16.5,10.9,11.5,4.1,3.1,"46,540",701,"62,740","1,096"
2003,"13,970",100,16.7,12.3,10.5,13.6,16.6,11.2,11.4,4.5,3.1,"46,850",968,"63,620","1,108"
2002,"13,780",100,16.6,12.3,10.2,14.1,17.3,10.3,11.3,4.4,3.4,"47,000","1,018","64,970","1,245"
BLACK ALONE,,,,,,,,,,,,,,,
2023,"18,040",100,13.9,9.8,8.5,12.6,17.1,12.1,13.2,5.5,7.3,"56,490","1,328","80,710","2,422"
2022,"18,080",100,13.4,9.7,9.8,12.6,17.8,11.5,12.2,6.4,6.6,"54,960","1,528","79,560","2,199"
2021,"17,700",100,13.6,11.5,9.3,12.4,16.3,11.7,12.3,5.7,7.1,"54,080","1,880","79,400","2,176"
2020 3,"17,320",100,14.9,10.5,9.1,12.9,16.4,11.4,12.8,5.3,6.6,"53,840","1,483","79,280","2,289"
2019,"17,050",100,14.2,10.5,9.9,13.3,16.1,10.6,13.2,5.8,6.5,"53,710","1,432","78,670","2,225"
2018,"17,170",100,16.3,11.0,9.5,13.8,16.5,10.8,11.5,5.2,5.3,"49,620","1,087","70,370","1,614"
2017 4,"17,020",100,16.0,11.9,9.6,14.4,15.8,10.5,11.6,5.1,5.3,"48,170","1,707","71,010","1,653"
2017,"17,000",100,16.3,11.2,9.5,14.0,16.1,10.5,11.8,5.3,5.2,"49,270","1,162","71,700","1,661"
2016,"16,730",100,16.6,11.5,9.9,13.6,15.8,11.1,11.5,5.2,4.7,"49,170","1,477","71,530","1,909"
2015,"16,540",100,16.8,12.1,10.5,13.2,15.8,10.7,11.4,5.3,4.1,"46,350","1,060","68,280","1,779"
2014,"16,440",100,17.4,12.4,11.2,13.7,16.7,9.5,10.6,4.6,4.0,"44,440",952,"64,310","1,427"
2013 5,"16,010",100,17.6,12.0,11.4,13.6,16.3,10.2,10.4,4.7,3.8,"44,970","1,795","64,240","2,482"
2013 6,"16,110",100,17.4,13.3,10.5,14.2,16.3,9.9,10.6,4.4,3.5,"44,050","1,525","63,190","1,854"
2012,"15,870",100,18.2,12.9,11.6,13.1,16.4,10.0,10.4,4.3,3.1,"42,940","1,675","61,520","1,596"
2011,"15,580",100,19.1,13.0,11.1,13.3,15.4,10.4,9.9,4.4,3.2,"42,330","1,100","62,070","1,735"
